64

19 302
14 19 81
4 21 83
10 3 4
13 3 14
12 13 37
8 10 42
9 11 54
11 17 20
7 11 8
1 16 32
17 2 97
17 11 21
19 9 25
1 14 36
11 11 40
20 12 7
10 21 23
3 5 50
12 1 14
6 11 6
5 5 27
15 9 44
2 15 59
14 8 79
1 14 25
12 6 38
11 5 77
13 10 64
14 3 24
1 20 81
3 17 89
10 10 32
3 16 47
10 20 36
1 20 15
6 10 73
11 19 5
18 12 64
20 9 24
19 14 92
12 5 0
21 19 51
16 6 13
12 12 64
9 11 44
18 9 42
13 16 17
3 12 43
9 19 18
1 14 62
3 12 80
1 8 99
4 15 65
15 1 40
5 17 3
11 11 80
5 12 13
14 19 27
10 3 90
2 5 75
11 2 14
18 9 2
9 15 66
9 15 57
3 1 13
13 19 0
1 7 92
19 10 98
19 12 82
1 21 17
21 10 99
8 1 27
1 13 2
13 5 91
14 14 56
9 4 44
15 2 50
1 2 39
13 16 58
10 15 73
19 14 51
17 3 68
8 7 26
13 19 40
3 17 52
5 17 19
6 8 69
8 18 68
21 4 94
12 7 39
5 9 78
7 9 28
11 17 41
8 4 33
2 1 63
18 12 44
5 9 27
20 19 56
3 11 30
7 12 83
13 21 33
20 5 30
15 7 54
16 12 7
14 9 32
4 6 38
11 7 17
6 13 70
16 2 92
5 10 86
2 9 33
6 10 33
10 15 53
1 9 20
9 9 78
12 9 27
18 6 40
7 5 85
8 3 30
16 21 23
1 4 50
11 18 45
4 7 34
13 12 60
21 7 10
6 17 95
12 8 11
16 7 37
18 10 82
18 7 27
19 8 5
13 8 1
19 12 96
7 5 92
13 18 53
8 17 11
14 5 5
18 9 3
6 21 23
12 15 63
17 6 8
2 16 92
11 15 52
15 15 89
12 5 23
5 14 36
9 6 3
15 9 65
14 5 11
6 18 66
9 4 59
3 6 38
15 20 98
8 8 77
12 21 86
3 4 85
8 13 69
15 13 2
19 9 20
13 8 59
16 19 45
19 3 36
15 6 85
20 20 36
19 5 85
20 21 35
9 19 52
21 4 37
6 3 50
14 12 10
9 5 36
9 6 80
13 9 42
11 3 70
13 5 57
13 16 22
10 8 57
11 5 62
13 17 5
2 2 47
6 21 57
12 10 42
18 16 46
21 16 14
2 13 27
17 4 73
1 13 88
5 11 42
19 4 37
19 5 45
16 15 26

32 104
2 2 36
32 12 57
11 21 1
4 22 2
20 22 25
10 17 58
31 21 5
13 27 58
27 15 9
24 5 70
25 30 73
5 15 22
25 4 37
15 26 79
4 4 47
21 18 2
9 16 0
3 22 34
18 19 14
22 25 73
19 26 60
2 28 33
5 29 97
31 9 33
2 24 43
19 26 35
2 6 19
23 17 51
10 7 37
2 24 90
28 1 68
23 2 10
20 7 71
28 4 56
19 16 66
12 31 27
18 2 49
2 13 39
8 26 9
32 25 66
32 13 84
1 19 35
7 27 93
10 7 92
25 17 15
23 28 9
24 25 77
4 24 18
30 14 19
22 12 46
2 12 25
20 7 16
14 25 52
20 29 30
4 29 36
31 14 12
24 11 47
15 25 10
28 8 54
8 31 67
19 20 92
26 9 97
18 29 92
14 24 2
10 28 33
24 24 53
2 11 39
27 22 90
2 4 49
32 15 72
20 15 79
28 16 6
24 4 39
15 6 24
10 28 1
2 21 87
12 12 94
1 27 99
4 24 17
18 16 23
32 16 10
15 2 9
19 13 32
24 9 88
19 18 2
7 5 68
19 15 45
13 27 84
4 32 97
19 7 40
2 14 30
3 7 61
15 28 32
23 8 82
9 2 17
13 6 20
28 11 94
22 28 80
21 13 20
28 1 63
9 7 30
15 13 3
10 1 38
17 7 28

22 166
8 20 14
11 10 39
3 15 62
6 22 21
9 7 77
13 2 25
15 2 4
9 18 44
19 10 16
10 14 74
5 8 97
15 20 93
5 8 83
5 17 5
11 10 0
10 3 59
11 11 47
4 11 91
11 19 73
1 9 36
8 21 97
3 18 54
10 1 74
4 8 44
11 19 58
12 16 52
22 3 65
9 3 5
5 8 67
12 10 3
10 22 19
3 16 81
3 22 79
8 10 29
4 1 50
19 1 21
20 7 70
20 22 49
5 19 3
15 3 0
14 6 17
5 19 48
2 11 90
11 12 78
9 12 69
8 1 13
14 1 71
13 21 92
8 2 15
8 10 18
13 7 84
8 11 15
18 17 65
5 3 8
16 17 40
17 10 21
17 19 54
13 4 57
15 7 83
22 13 56
7 9 75
17 16 64
12 5 51
12 15 68
4 14 96
13 19 85
8 9 9
11 12 90
17 3 76
6 2 72
14 5 30
6 21 18
8 22 32
1 16 19
14 16 5
8 8 62
16 15 53
5 15 0
7 6 96
6 6 8
9 6 3
7 12 69
5 11 20
20 20 25
12 17 89
19 18 56
11 7 47
2 3 68
5 7 28
10 5 11
14 7 72
3 22 92
11 18 35
9 21 99
1 1 56
16 15 51
22 13 21
22 5 80
4 22 17
9 21 61
15 1 36
12 12 73
7 5 42
3 2 74
3 18 90
16 2 51
6 1 14
8 11 86
7 20 65
3 13 49
2 14 45
11 3 61
15 17 14
16 20 28
11 6 76
12 15 1
11 16 10
21 16 3
19 13 96
7 14 19
18 21 85
21 20 68
15 6 60
12 20 48
16 15 83
6 10 74
21 20 19
14 13 93
3 13 76
14 18 88
13 4 38
8 10 16
12 5 94
9 11 66
21 13 56
8 1 5
5 20 16
17 6 57
6 10 8
1 10 92
4 16 54
12 16 42
14 14 65
2 5 42
12 3 1
12 16 65
8 12 41
11 7 37
20 16 6
5 22 99
18 22 31
12 10 93
3 4 0
5 8 65
5 21 88
20 9 2
10 4 31
16 1 44
7 13 86
7 8 85
4 4 77
14 1 53
15 7 80
22 4 52
21 2 37
7 12 45

30 295
10 9 19
19 2 31
4 7 50
14 19 19
29 10 68
19 15 62
11 9 56
20 17 67
16 11 19
17 7 20
17 18 5
18 29 87
16 9 55
4 9 8
6 9 43
12 14 31
21 20 99
29 20 72
1 1 81
29 3 88
16 29 74
14 26 70
15 3 10
15 21 85
23 7 1
6 28 18
18 30 49
29 12 81
29 5 11
1 6 53
21 22 51
8 25 76
10 15 12
23 12 8
29 13 32
18 11 56
17 13 44
20 4 3
17 8 1
22 11 61
13 13 51
29 21 34
13 5 91
25 3 31
29 7 65
10 4 33
14 28 22
9 1 29
16 24 28
27 15 54
1 28 47
21 2 82
18 14 80
20 27 5
27 24 89
22 27 37
11 9 68
3 30 83
26 11 12
10 7 17
29 25 53
1 9 75
6 21 56
24 16 63
17 5 4
5 15 12
5 25 95
5 19 45
7 21 17
13 8 64
29 14 95
7 19 14
20 7 54
5 12 11
2 29 64
16 11 30
2 29 94
20 4 30
2 4 64
10 28 32
15 24 85
25 10 73
24 4 32
5 17 93
25 1 57
28 23 18
26 19 65
21 19 67
24 16 6
14 18 48
29 3 9
8 9 95
3 13 81
19 6 24
19 3 91
3 24 85
21 29 24
9 6 99
24 25 60
12 15 75
6 14 58
14 11 56
18 2 35
15 9 97
10 12 57
3 17 27
1 12 89
29 23 89
15 3 58
29 21 63
4 29 86
14 28 12
7 3 17
7 3 35
18 20 61
27 18 50
8 9 72
22 29 45
17 19 35
7 2 49
27 19 87
24 3 62
19 30 17
13 7 33
24 29 40
11 21 27
20 24 33
10 11 82
28 26 26
21 17 72
1 6 0
3 28 16
25 25 82
23 20 32
13 22 64
4 12 87
19 5 30
29 20 81
16 18 30
24 10 39
29 22 19
26 8 62
12 2 74
1 14 30
23 8 13
4 18 35
30 8 0
11 1 28
28 11 68
29 2 55
20 13 38
20 25 56
21 2 23
5 2 4
4 25 37
13 23 61
12 23 56
12 4 55
14 12 98
15 20 57
20 28 58
14 27 47
15 20 98
17 17 41
3 6 7
17 17 60
2 23 45
5 20 86
8 20 70
27 18 25
17 6 92
13 5 41
24 16 34
10 17 99
15 14 17
23 6 49
15 11 88
27 20 29
16 2 53
25 27 32
30 29 71
27 20 7
12 25 1
28 6 24
3 3 34
8 24 70
11 2 43
30 11 59
1 16 75
27 21 41
26 22 65
7 1 7
1 22 13
28 6 86
30 22 15
16 15 7
17 8 74
20 7 14
5 3 65
25 6 45
8 3 84
30 30 21
21 15 97
19 3 0
2 18 27
16 5 49
15 22 14
22 18 62
16 14 71
21 1 98
23 7 74
15 8 72
29 8 53
2 8 64
11 27 84
8 16 47
29 12 25
8 25 59
13 26 10
14 24 57
12 9 37
20 23 72
19 6 16
26 2 86
14 8 69
22 8 80
3 23 77
27 22 87
15 5 24
30 24 7
30 12 32
14 6 83
12 22 34
13 20 82
13 20 79
20 30 53
4 9 4
17 16 98
13 30 47
7 19 21
10 21 22
15 27 74
28 21 47
17 26 48
28 25 93
19 30 17
27 4 68
4 25 71
4 12 89
14 13 82
27 27 58
23 11 7
5 9 53
30 9 60
25 14 18
24 1 46
20 29 74
14 22 33
25 2 56
29 24 21
25 14 35
28 13 81
28 26 95
6 28 59
20 16 9
12 24 75
11 29 10
24 22 19
25 18 4
10 10 60
15 7 60
27 8 27
14 23 34
3 12 81
19 23 68
12 28 37
2 19 9
23 20 51
3 27 34
12 27 1
10 10 32
17 17 87
1 21 75
4 14 99
27 12 73
16 22 61
26 13 65
16 14 6
12 30 71
30 3 63
9 16 56
17 5 85
29 20 83
12 11 45
16 5 78

27 548
23 18 56
23 10 88
15 1 23
4 4 44
23 8 67
20 17 74
17 10 20
14 5 89
15 9 62
20 6 8
10 16 15
19 10 40
9 22 23
1 15 77
8 27 94
25 25 19
7 3 81
27 5 78
8 3 68
13 2 40
1 27 9
26 10 4
20 15 17
24 23 88
12 7 96
26 2 36
17 5 15
10 24 88
12 18 49
2 27 47
18 16 17
27 15 21
15 21 93
10 24 62
6 11 71
7 11 39
1 8 41
24 27 1
4 19 55
19 18 71
7 18 55
10 19 24
3 8 70
26 16 67
26 25 88
9 18 84
17 26 22
16 23 34
23 18 50
13 25 39
4 12 93
22 26 74
2 2 33
6 19 41
3 8 88
21 1 72
19 6 77
3 22 21
20 24 92
7 17 41
18 13 13
5 4 31
7 20 64
14 12 4
10 3 71
27 7 30
5 9 26
16 16 0
1 12 5
17 19 45
18 11 94
10 7 60
3 13 15
14 9 34
5 11 84
1 5 52
9 7 76
25 17 30
25 1 95
16 21 74
15 20 6
21 9 90
22 19 94
4 23 57
3 14 68
23 4 70
3 3 33
8 12 86
24 20 53
18 1 75
10 15 97
8 8 32
26 21 65
10 26 6
24 6 65
27 6 61
18 18 27
3 27 43
11 6 9
1 25 83
15 21 61
22 4 85
4 8 72
18 23 85
12 13 11
18 6 33
8 11 8
7 17 60
1 20 24
14 19 43
7 8 42
10 6 80
7 17 95
2 25 37
14 16 13
9 19 89
19 21 41
24 14 98
16 24 2
23 7 6
3 1 85
25 25 88
14 5 0
11 16 37
27 22 58
18 23 24
1 4 1
14 7 68
26 6 17
6 4 60
6 16 82
20 22 94
24 11 31
1 6 17
22 2 38
7 1 56
26 18 4
21 5 91
26 15 29
19 2 43
7 12 23
17 25 15
1 7 48
6 3 21
24 25 18
24 8 58
14 24 77
7 25 69
21 16 84
12 6 78
23 17 4
20 7 0
27 4 54
18 25 71
4 9 36
11 14 10
23 14 18
20 12 13
25 14 17
3 20 93
20 1 59
15 20 49
18 13 52
16 21 5
13 24 73
26 23 50
12 18 88
23 27 48
25 4 20
7 17 87
23 15 88
16 8 1
17 9 90
26 10 55
23 16 70
7 26 5
25 7 14
13 22 30
16 8 70
21 17 75
24 18 70
20 27 11
2 7 51
11 21 92
26 11 58
24 14 36
4 3 36
14 4 81
10 15 32
16 13 58
22 1 53
22 1 31
1 15 39
10 8 80
21 10 60
23 12 56
25 20 68
17 26 35
5 16 5
17 11 56
7 15 70
7 15 91
10 8 17
17 2 42
15 22 20
26 3 27
8 7 68
6 3 6
10 1 74
20 9 96
23 21 95
11 17 96
7 17 59
25 23 35
19 12 22
10 20 76
16 2 35
7 19 86
24 14 63
5 3 46
15 19 95
4 19 17
9 25 89
5 2 54
16 12 91
24 10 12
25 22 27
5 3 50
8 16 18
10 11 91
17 15 69
8 15 31
5 13 16
22 18 42
7 4 2
5 14 21
15 22 74
17 18 83
21 10 4
4 25 65
8 7 62
22 2 94
23 6 53
14 2 2
6 18 77
19 22 3
2 22 5
20 9 70
18 1 36
16 10 14
11 18 50
1 3 96
6 7 13
7 19 99
13 26 3
23 12 20
18 18 16
15 22 16
15 4 24
14 22 58
20 1 8
22 18 48
1 3 61
9 10 61
7 3 92
19 1 58
9 7 30
20 15 84
12 3 3
7 25 94
23 19 72
13 12 3
15 6 34
24 21 65
26 15 52
16 11 24
22 3 83
25 27 38
17 12 60
14 12 33
22 24 22
22 18 30
16 6 5
9 10 10
13 23 46
23 4 14
14 3 37
14 10 31
25 26 62
9 15 5
22 21 18
1 11 14
6 2 89
4 19 55
15 11 75
18 12 92
20 17 16
19 5 79
6 2 68
20 4 34
2 20 77
1 2 68
2 6 11
10 26 92
20 16 24
20 2 13
25 15 33
2 26 17
4 1 6
23 12 61
15 9 67
6 27 94
27 18 76
25 3 70
2 7 35
19 10 69
7 20 38
21 11 83
22 20 32
6 7 50
3 13 42
2 9 32
8 16 33
10 13 82
5 9 88
4 7 24
12 14 36
22 17 39
14 11 16
9 8 32
21 1 25
18 13 72
6 3 93
7 8 47
15 11 78
11 16 11
13 1 10
18 19 9
2 3 25
9 9 68
25 8 51
26 26 89
17 17 28
25 16 44
8 12 11
12 13 14
12 6 73
3 21 27
6 19 63
3 3 62
26 27 74
24 17 40
3 24 50
7 25 31
18 6 19
20 6 54
25 16 7
19 27 68
26 1 78
2 20 3
1 9 75
7 11 72
3 1 17
1 19 53
22 22 79
27 6 74
4 18 48
3 14 59
19 12 21
27 5 59
24 15 92
8 8 71
24 3 86
15 10 65
26 13 55
20 6 16
10 7 66
23 21 26
24 16 75
17 20 80
20 3 1
1 2 62
19 8 57
1 16 36
13 24 81
7 26 13
2 5 38
23 25 14
11 20 11
19 22 6
10 13 7
11 12 37
18 6 21
6 13 76
2 8 8
16 27 95
20 1 65
17 12 12
25 7 1
9 14 1
10 26 27
21 3 19
16 8 1
1 19 10
8 20 17
24 23 23
24 5 46
24 15 54
3 10 23
5 3 78
3 15 49
6 8 41
2 1 15
9 12 30
18 1 70
13 7 19
17 18 92
20 22 27
18 20 37
21 15 87
24 8 81
20 10 32
21 5 76
5 5 87
21 21 93
27 6 3
18 15 64
1 9 93
20 15 51
23 24 90
3 27 65
12 21 51
6 20 72
26 25 24
8 11 74
13 4 87
16 19 38
13 2 74
1 4 1
13 23 42
1 9 76
21 6 3
2 23 70
15 22 39
26 14 45
2 26 6
9 27 45
10 17 4
2 13 60
25 27 4
6 10 71
27 12 45
12 14 12
22 21 46
9 26 36
7 11 26
6 13 68
12 15 82
13 19 11
12 22 56
11 11 61
11 17 43
24 5 54
17 10 69
15 14 60
14 5 54
26 13 42
3 3 61
21 7 39
15 23 77
15 10 70
20 6 41
13 2 50
22 9 63
9 11 75
2 9 27
15 3 81
6 19 30
12 18 31
7 19 92
5 4 22
27 15 39
1 9 45
10 15 0
9 10 2
17 8 88
20 8 88
27 6 65
17 12 6
8 21 74
27 7 73
3 23 18
27 4 51
14 24 78
23 12 69
19 23 36
26 9 86
21 25 60
5 3 72
14 24 13
21 25 62
16 19 87
9 12 87
5 21 6
5 13 61
1 23 77
25 1 83
23 25 62
14 10 46
11 12 66
24 10 15
15 23 66
15 12 58
24 1 37
9 3 3
21 5 61
21 26 97
8 8 55
17 9 95
17 4 27
26 1 78
11 18 69
22 1 70
11 4 32
2 27 34
7 27 96
5 17 8
1 4 56
10 2 3
2 13 69
2 8 69
8 14 15
8 8 96
11 4 99
26 24 81
26 26 57
4 9 99
23 13 46
24 24 62
9 14 44
5 20 7
19 13 70
26 17 47
18 4 0
4 1 16
2 27 48
10 21 11
12 20 2

11 51
2 4 82
3 5 66
5 6 71
10 11 40
6 3 57
6 4 25
9 9 74
7 2 33
11 4 90
2 1 46
4 4 16
8 5 78
11 1 51
9 6 42
11 6 32
1 11 75
7 10 81
8 9 88
10 1 7
8 5 80
11 4 33
3 3 75
3 5 23
6 10 31
11 1 17
8 8 28
6 7 73
2 4 60
11 7 44
2 9 80
5 1 84
8 6 44
1 6 73
8 6 95
6 1 50
11 7 99
7 11 15
10 10 76
5 6 16
2 7 25
11 5 54
5 2 70
11 1 1
3 11 2
2 2 16
6 1 26
5 7 57
3 7 41
7 7 67
2 3 42
6 1 98

7 18
1 4 35
1 7 44
2 4 0
3 1 58
4 6 15
7 3 39
2 2 92
7 7 61
7 7 55
4 2 8
5 4 31
4 2 55
5 7 86
4 1 33
2 7 7
3 4 89
4 2 61
1 2 3

23 337
4 6 28
6 16 40
3 6 88
10 10 80
7 12 76
2 6 79
2 1 50
17 11 12
15 20 66
19 7 33
18 21 7
5 18 90
4 20 3
14 18 24
19 19 32
18 17 25
18 19 77
23 14 18
13 10 73
20 10 31
11 3 77
22 22 93
19 23 79
13 21 15
2 5 71
19 6 48
14 8 92
22 11 84
8 8 83
12 13 0
14 13 2
12 19 18
5 11 36
2 18 49
23 15 37
5 7 75
12 10 48
17 2 6
18 9 60
8 6 80
14 22 0
9 19 75
14 9 99
8 16 76
23 1 25
23 17 36
4 15 28
5 4 84
7 8 69
13 20 60
5 13 85
1 14 25
3 19 72
18 6 59
13 12 53
6 17 72
14 20 68
18 6 86
19 14 62
15 5 80
22 8 43
6 2 1
1 22 25
1 8 51
12 2 81
5 12 51
18 22 89
1 11 43
8 5 72
12 22 36
20 5 66
15 9 64
7 14 5
15 20 93
10 9 51
22 16 57
20 22 99
1 13 5
5 20 64
20 23 93
18 6 3
4 9 33
11 18 8
1 15 99
10 18 71
19 3 25
12 9 36
1 9 73
14 10 74
14 12 55
13 2 46
21 12 40
9 1 41
23 2 75
11 12 41
7 2 25
15 7 26
1 8 84
4 3 95
15 20 79
16 11 25
21 13 99
21 18 18
23 4 34
5 7 46
23 20 3
6 5 64
7 18 30
3 8 56
23 5 62
4 16 37
16 9 89
4 23 2
1 17 86
7 4 91
20 1 89
18 22 5
12 12 79
13 18 84
18 5 94
4 22 69
12 15 3
12 23 40
22 5 69
2 9 69
2 11 30
18 6 76
6 23 87
17 23 97
15 19 51
14 9 31
22 1 11
21 9 94
2 13 95
4 12 4
8 17 19
7 18 92
6 8 38
5 10 40
18 18 54
3 20 48
3 19 54
11 6 65
18 5 37
6 18 2
22 4 9
10 14 41
18 18 9
21 15 42
15 11 22
11 10 98
6 5 40
11 22 55
9 1 33
21 10 94
1 11 12
8 20 65
2 12 81
16 9 48
20 11 63
7 1 29
5 16 29
20 11 74
20 4 7
1 20 78
11 6 93
7 13 71
18 17 4
4 16 82
8 11 45
3 15 0
18 5 94
22 18 81
2 12 80
15 8 78
20 19 27
3 6 40
14 18 5
6 7 89
16 6 29
1 18 3
6 1 58
17 17 38
22 1 45
6 5 66
18 2 97
1 10 0
18 19 38
18 22 98
23 22 28
11 6 40
11 16 14
22 14 33
16 4 71
20 19 35
16 3 8
19 23 82
14 16 82
12 23 60
10 11 3
10 9 55
19 2 18
3 22 84
6 7 36
2 6 10
21 5 27
14 5 24
6 15 37
22 3 22
10 2 22
12 17 12
13 20 53
6 5 99
6 4 40
5 19 74
10 2 66
8 16 14
22 9 22
1 10 24
19 22 28
13 14 5
9 16 51
7 12 30
5 5 74
23 3 59
18 19 68
11 3 62
13 23 75
22 19 90
14 14 18
5 12 64
20 22 86
2 9 98
23 1 42
2 21 1
14 16 37
16 4 31
9 15 54
5 2 99
18 7 38
1 13 91
16 2 24
1 16 42
1 8 45
15 10 72
7 6 51
4 13 94
19 1 69
14 18 0
20 11 9
3 18 28
21 22 61
14 17 12
21 13 63
2 2 36
1 16 94
7 21 57
1 12 37
18 5 12
23 9 72
17 18 89
9 10 77
2 11 24
8 12 79
4 7 84
19 16 41
10 8 39
15 4 61
20 12 9
22 5 35
16 23 28
19 20 80
23 9 67
5 11 33
11 5 73
3 16 61
4 5 0
2 22 83
7 17 81
11 23 97
10 5 41
1 3 89
9 20 58
14 16 8
12 14 54
4 14 84
2 21 92
1 15 35
17 17 3
10 15 8
14 5 21
10 4 85
6 21 24
22 8 66
12 5 91
19 23 31
17 20 32
8 20 32
18 16 94
9 18 79
7 13 74
4 6 55
1 5 58
2 1 47
23 9 58
22 23 13
18 17 25
8 6 43
17 19 54
11 18 39
18 4 47
23 19 19
22 21 44
22 22 32
1 15 91
23 19 27
10 12 24
10 16 26
5 3 69
22 2 55
2 2 46
15 9 14
12 12 96
4 16 65
18 14 91
13 18 14
18 13 68
10 20 87
7 11 2
8 12 60
9 7 44
11 13 78
23 13 68
9 16 25
22 12 96
16 8 91
23 14 75

4 7
4 3 23
4 4 22
1 1 76
3 1 29
3 1 47
4 4 62
4 3 95

18 45
5 8 14
4 2 89
3 8 62
13 1 40
11 15 87
2 17 59
2 3 12
8 7 64
3 8 91
8 7 41
15 15 13
15 14 79
4 10 42
2 1 80
16 8 40
12 2 29
14 2 46
18 4 63
5 17 95
11 14 69
5 13 63
18 15 13
10 1 75
10 6 46
15 2 22
14 9 9
15 18 61
18 5 10
16 18 8
9 16 76
2 1 91
16 18 13
14 12 85
1 6 68
1 2 55
9 12 81
8 13 11
11 7 55
10 1 83
5 18 80
5 5 93
3 16 34
12 9 35
17 9 86
17 16 21

26 315
5 14 63
20 16 93
3 22 33
24 15 82
5 18 59
1 6 27
8 6 8
24 23 27
19 24 65
10 8 59
26 19 86
17 10 76
12 25 21
2 5 2
21 22 63
1 25 69
6 12 9
5 1 36
4 8 1
11 17 88
5 7 5
14 5 12
14 23 22
21 17 11
16 8 17
15 7 3
2 4 33
4 10 81
13 15 3
4 11 90
12 21 92
17 1 72
13 26 75
3 11 34
12 24 32
18 8 80
23 17 4
8 6 65
22 3 90
9 3 48
3 13 51
5 3 33
4 8 21
17 3 41
16 15 91
23 21 90
14 15 55
21 12 95
24 14 50
2 3 73
17 20 1
21 25 91
3 18 8
7 25 25
23 10 7
18 8 19
6 23 67
20 8 86
9 2 57
13 18 86
7 17 63
7 17 33
25 23 20
25 6 50
11 10 58
18 1 28
15 18 93
24 23 5
2 22 28
21 22 8
11 21 43
3 13 35
25 25 17
7 15 63
16 11 62
18 3 60
9 13 43
5 4 71
2 16 87
23 10 96
20 19 68
6 8 8
6 4 57
20 1 25
4 23 87
6 3 2
20 1 93
23 16 24
14 1 32
24 17 80
18 25 48
26 22 57
5 19 36
5 16 13
2 22 34
6 16 13
6 2 79
22 22 24
24 22 7
15 24 54
15 25 27
10 18 69
4 19 14
22 24 84
17 25 38
6 4 95
7 15 63
4 20 36
26 23 87
25 15 55
25 5 35
17 12 47
11 20 49
8 6 52
8 24 31
12 20 21
2 19 81
23 1 51
21 7 57
10 10 34
14 3 62
1 12 91
22 7 77
1 8 61
26 3 56
19 17 50
13 12 55
16 13 50
22 20 13
5 26 49
9 7 66
22 12 39
5 9 89
14 16 30
16 6 98
8 4 32
19 17 30
8 4 57
1 15 48
3 20 43
9 9 49
22 12 1
6 18 46
21 20 34
2 23 73
6 1 91
24 23 60
1 8 67
17 10 10
11 5 98
21 8 18
8 21 32
1 4 31
21 18 92
19 20 80
19 13 52
17 15 9
25 10 6
8 12 95
15 17 43
24 23 49
19 12 79
22 25 25
15 16 27
8 2 13
22 16 37
11 11 27
22 6 18
10 25 66
2 12 19
24 10 21
11 1 77
10 2 83
1 6 90
2 3 32
20 19 36
6 26 91
11 26 59
11 24 7
25 6 96
8 3 29
10 24 20
14 13 59
19 23 72
23 24 8
15 8 43
17 13 30
16 5 82
16 18 52
21 16 89
23 15 35
23 13 92
9 22 87
8 16 2
5 10 12
12 8 83
24 26 51
4 26 49
23 11 91
12 10 46
2 5 34
17 11 76
12 24 50
4 1 43
13 25 92
22 18 34
24 2 5
23 1 96
9 18 68
20 24 78
24 26 76
8 25 89
8 21 39
10 26 37
8 14 54
2 8 50
3 13 70
3 18 43
23 2 55
22 6 60
22 26 45
20 22 99
14 9 12
16 8 73
5 12 88
13 5 18
1 19 45
20 6 73
21 17 3
3 11 79
2 25 47
25 12 92
8 10 43
17 16 50
3 4 57
9 2 12
3 3 96
10 4 14
26 12 16
11 15 20
11 14 54
24 8 46
7 23 88
22 2 17
2 23 26
3 25 16
8 13 90
11 4 70
22 14 51
11 18 40
26 25 94
8 9 14
6 17 95
9 9 2
8 17 59
6 3 60
19 25 19
22 23 32
11 2 72
2 10 48
26 1 86
10 3 33
1 5 34
11 11 32
1 14 24
5 19 73
3 2 91
25 18 25
2 20 90
11 20 54
13 4 37
18 16 47
22 8 28
8 8 22
21 19 98
15 8 78
18 5 34
9 22 52
5 8 58
24 6 3
2 6 28
17 5 26
26 15 17
10 2 92
2 24 57
11 23 24
18 25 0
13 6 58
23 10 28
2 20 84
7 14 78
13 20 43
4 20 65
5 16 78
2 18 19
24 18 8
25 4 75
4 10 58
15 25 86
8 19 98
23 11 52
17 8 84
12 21 43
3 8 60
22 5 10
13 6 39
17 19 79
2 21 63
26 13 48
21 26 92
7 18 48
15 16 98
9 3 14
18 19 69
25 13 4

10 11
2 7 95
7 7 7
5 4 29
7 4 37
7 2 96
6 10 7
2 8 3
4 5 45
10 6 48
7 4 60
3 1 64

10 4
7 4 90
7 10 86
3 7 59
1 5 50

4 6
2 4 25
3 2 70
4 1 18
4 3 31
1 3 95
3 3 43

7 29
1 3 16
1 7 27
6 4 77
4 1 59
1 2 18
5 7 83
7 5 31
4 2 77
3 2 64
4 2 98
4 5 60
3 5 89
4 7 80
4 2 93
5 5 31
4 7 39
1 4 18
1 2 80
2 7 38
3 1 38
1 4 31
3 7 52
2 3 31
4 4 33
6 6 58
6 1 65
7 6 26
6 2 54
6 7 11

8 47
1 1 71
6 4 0
5 7 18
2 7 68
1 4 11
6 8 37
4 5 7
2 7 95
5 3 63
3 6 70
3 2 19
6 2 47
4 5 80
2 5 97
6 1 94
5 6 2
1 1 75
7 4 27
1 8 32
7 6 53
8 5 11
1 4 41
5 1 42
2 2 61
2 4 26
7 7 55
8 6 15
3 1 23
2 6 13
7 7 26
3 2 68
7 7 63
7 1 7
8 6 24
3 4 29
1 8 38
7 7 40
7 7 91
4 4 38
2 2 43
3 6 82
1 1 20
1 5 58
6 5 80
2 6 31
1 8 58
7 8 10

11 14
11 4 52
4 3 68
6 10 61
2 10 75
4 2 51
3 5 35
6 7 95
11 2 36
11 7 67
8 2 39
9 4 54
1 5 7
10 5 7
6 5 90

20 353
5 19 37
13 13 25
9 11 26
9 18 92
8 16 86
2 15 34
1 20 35
8 12 56
10 4 39
15 3 96
14 12 5
18 9 2
20 15 94
18 19 74
5 17 22
19 4 9
11 19 2
2 16 54
18 15 14
12 3 63
3 9 10
4 11 63
10 17 72
9 11 12
17 6 21
20 7 45
19 10 56
6 4 26
12 18 39
14 14 56
2 4 67
4 19 62
20 11 17
3 3 6
8 4 74
14 2 11
15 18 50
19 16 80
8 15 57
1 4 68
16 3 14
14 5 95
5 2 71
19 9 30
15 15 52
16 18 59
5 1 65
20 13 19
6 11 29
9 11 9
12 5 21
8 1 77
10 4 90
10 14 86
16 7 25
6 18 31
6 15 46
18 15 82
20 16 61
11 5 26
15 7 87
7 16 58
10 6 5
4 5 46
2 2 87
11 13 55
6 11 60
12 13 57
7 6 26
12 4 26
10 11 76
5 1 42
2 19 69
6 17 30
19 5 5
11 12 98
13 4 69
5 1 86
2 7 17
6 5 43
16 13 26
17 16 87
15 17 51
3 7 13
7 5 10
10 3 21
13 12 23
13 18 16
12 7 32
8 3 34
1 1 99
8 9 66
4 20 94
2 5 40
6 8 3
9 9 21
12 4 51
2 20 3
20 5 88
2 19 31
3 10 58
11 16 98
2 11 97
19 11 20
18 14 54
18 16 51
1 19 59
1 2 3
5 2 64
15 13 63
4 4 97
19 14 39
1 12 81
12 4 74
17 18 84
4 10 21
2 1 58
4 16 19
17 12 71
2 8 47
5 5 81
18 16 76
1 9 94
5 3 87
14 20 38
3 1 6
16 20 10
11 11 51
3 14 86
10 1 3
